Found local copy...
Found local copy...
Found local copy...
These perturbations are not in the GO graph and their perturbation can thus not be predicted
['RHOXF2BB+ctrl' 'LYL1+IER5L' 'ctrl+IER5L' 'KIAA1804+ctrl' 'IER5L+ctrl'
 'RHOXF2BB+ZBTB25' 'RHOXF2BB+SET']
Local copy of pyg dataset is detected. Loading...
Done!
Local copy of split is detected. Loading...
Simulation split test composition:
combo_seen0:9
combo_seen1:43
combo_seen2:19
unseen_single:36
Done!
Creating dataloaders....
Done!
Found local copy...
[HCE] GO terms: 16, lambda_hce: 0.3, n_genes: 5045, n_perts: 9853
Start Training with HCE...
Epoch 3 Step 651 | total=0.5198 mse=0.5185 hce=0.0043
Epoch 3 Step 701 | total=0.4967 mse=0.4923 hce=0.0147
Epoch 3 Step 751 | total=0.4560 mse=0.4550 hce=0.0032
Epoch 3 Step 801 | total=0.4746 mse=0.4725 hce=0.0068
Epoch 3 Step 851 | total=0.5956 mse=0.5947 hce=0.0031
Epoch 3 Step 901 | total=0.5865 mse=0.5855 hce=0.0031
Epoch 3 Step 951 | total=0.5334 mse=0.5323 hce=0.0037
Epoch 3 Step 1001 | total=0.5103 mse=0.5045 hce=0.0193
Epoch 3 Step 1051 | total=0.5258 mse=0.5249 hce=0.0031
Epoch 3 Step 1101 | total=0.4466 mse=0.4458 hce=0.0027
Epoch 3 Step 1151 | total=0.5175 mse=0.5105 hce=0.0233
Epoch 3 Step 1201 | total=0.5242 mse=0.5234 hce=0.0027
Epoch 3 Step 1251 | total=0.4314 mse=0.4305 hce=0.0033
Epoch 3 Step 1301 | total=0.5574 mse=0.5561 hce=0.0044
Epoch 3 Step 1351 | total=0.4312 mse=0.4305 hce=0.0024
Epoch 3 Step 1401 | total=0.5456 mse=0.5438 hce=0.0063
Epoch 3 Step 1451 | total=0.4834 mse=0.4787 hce=0.0158
Epoch 3 Step 1501 | total=0.5131 mse=0.5086 hce=0.0152
Epoch 3 Step 1551 | total=0.4767 mse=0.4755 hce=0.0040
Epoch 3: Val MSE=0.0743 | Val Pearson=0.8154 | HCE loss=0.0077
Epoch 4 Step 1 | total=0.4775 mse=0.4768 hce=0.0022
Epoch 4 Step 51 | total=0.5103 mse=0.5094 hce=0.0031
Epoch 4 Step 101 | total=0.5481 mse=0.5474 hce=0.0026
Epoch 4 Step 151 | total=0.4782 mse=0.4774 hce=0.0027
Epoch 4 Step 201 | total=0.5638 mse=0.5624 hce=0.0047
Epoch 4 Step 251 | total=0.5239 mse=0.5222 hce=0.0057
Epoch 4 Step 301 | total=0.4842 mse=0.4834 hce=0.0028
Epoch 4 Step 351 | total=0.4397 mse=0.4388 hce=0.0030
